"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Olivia searches for tops","SUCCESS","2023-02-17T16:58:45.54318186Z[Etc/UTC]","0.0","2.95"
"Search by keyword","Olivia sees related searches","SUCCESS","2023-02-17T16:58:48.597217404Z[Etc/UTC]","0.0","2.86"
"Search by keyword","Olivia views the related search items","SUCCESS","2023-02-17T16:58:51.563117794Z[Etc/UTC]","0.0","4.22"
